,komentar,score,value,,jika score,maka,,,,,,komentar,score,value
0,aink dikasi tugas video mulu lah,5,POSITIVE,,1,NEGATIVE,,jumlah data positive,903,,0,aink dikasi tugas video mulu lah,5,POSITIVE
1,"Bagus apk nya, tp kok ada bug tiba-tiba ada notif tugas? Itu sangat menggangu juga membuat stres sekali... Mohon di fix bugnya🙏🏻",1,NEGATIVE,,2,NEGATIVE,,jumlah data negative,1816,,1,"Bagus apk nya, tp kok ada bug tiba-tiba ada notif tugas? Itu sangat menggangu juga membuat stres sekali... Mohon di fix bugnya🙏🏻",1,NEGATIVE
2,Yaahh... Kasian bljr daring 🤣🤣 pada ngeluh bug yaa wkwk,1,NEGATIVE,,3,DIHAPUS,,,,,2,Yaahh... Kasian bljr daring 🤣🤣 pada ngeluh bug yaa wkwk,1,NEGATIVE
3,aneh mw ngirim tugas pidio malah gabisa maksut amat,1,NEGATIVE,,4,POSITIVE,,agar seimbang,dihapus data negative,,3,aneh mw ngirim tugas pidio malah gabisa maksut amat,1,NEGATIVE
4,"Terimakasih berkat aplikasi ini saya jadi juara 1 di Dunia makasih Kepada pembuat aplikasi ini hebat banget sumpah ,saya juga dapat menjadi calon presiden",5,POSITIVE,,5,POSITIVE,,,913,,4,"Terimakasih berkat aplikasi ini saya jadi juara 1 di Dunia makasih Kepada pembuat aplikasi ini hebat banget sumpah ,saya juga dapat menjadi calon presiden",5,POSITIVE
5,"Mohon maaf ini kalau kirim 1 video sekitar 10MB lama memakan sekitar 3 menit, apakah anda bisa memberitahu aplikasi lain yang sama dengan classroom?",1,NEGATIVE,,,,,menjadi,,,5,"Mohon maaf ini kalau kirim 1 video sekitar 10MB lama memakan sekitar 3 menit, apakah anda bisa memberitahu aplikasi lain yang sama dengan classroom?",1,NEGATIVE
6,Ga tau lagi aku,1,NEGATIVE,,,,,jumlah data positive,903,,6,Ga tau lagi aku,1,NEGATIVE
7,Membantu sekali,5,POSITIVE,,,,,jumlah data negative,903,,7,Membantu sekali,5,POSITIVE
8,kelas nya gamuncul,1,NEGATIVE,,,,,total,1806,,8,kelas nya gamuncul,1,NEGATIVE
9,Aku punya login🙂🙃,4,POSITIVE,,,,,,,,9,Aku punya login🙂🙃,4,POSITIVE
10,Seru banget gan,5,POSITIVE,,,,,,,,10,Seru banget gan,5,POSITIVE
11,jd banyak tugas,2,NEGATIVE,,,,,,,,11,jd banyak tugas,2,NEGATIVE
12,Sering Ngebug Notifnya Kebanyakan,1,NEGATIVE,,,,,,,,12,Sering Ngebug Notifnya Kebanyakan,1,NEGATIVE
13,HMM kurang menarik bnyk bug,1,NEGATIVE,,,,,,,,13,HMM kurang menarik bnyk bug,1,NEGATIVE
14,Saya benci tugas👍,1,NEGATIVE,,,,,,,,14,Saya benci tugas👍,1,NEGATIVE
15,mau ngirim pdf gagal terlampir mulu heran,1,NEGATIVE,,,,,,,,15,mau ngirim pdf gagal terlampir mulu heran,1,NEGATIVE
16,"Yah, eror bang",1,NEGATIVE,,,,,,,,16,"Yah, eror bang",1,NEGATIVE
17,Lumayan lah ya,4,POSITIVE,,,,,,,,17,Lumayan lah ya,4,POSITIVE
18,Aku suka belajar 🤗,5,POSITIVE,,,,,,,,18,Aku suka belajar 🤗,5,POSITIVE
19,Buat pelajaran,5,POSITIVE,,,,,,,,19,Buat pelajaran,5,POSITIVE
20,AWALI HARI MU DENGAN DI SPAM NOTIF TUGASS 😄,5,POSITIVE,,,,,,,,20,AWALI HARI MU DENGAN DI SPAM NOTIF TUGASS 😄,5,POSITIVE
21,Baik dan bagus,5,POSITIVE,,,,,,,,21,Baik dan bagus,5,POSITIVE
22,Bangkrut aja gan,1,NEGATIVE,,,,,,,,22,Bangkrut aja gan,1,NEGATIVE
23,"Kenapa sih bug terus, dari tombol berhimpitan, tugas yang telah terlampir dan terkumpul juga hilang dokumen tugasnya, serta pengumpulan yang sudah dibawah tenggat tetapi masih terlambat serta dokumen tidak tersedia, masa harus buat baru. Perbaiki lah tolong!!!!! Edit : Sumpah makin parah banget tugas yang terkumpul dan ada dokumen mengapa hilang terussss dah tampilan juga diselesaikan terlambat . Semua tugas saya seperti ini. Kenapa coba? Kasih solusi lah.",4,POSITIVE,,,,,,,,23,"Kenapa sih bug terus, dari tombol berhimpitan, tugas yang telah terlampir dan terkumpul juga hilang dokumen tugasnya, serta pengumpulan yang sudah dibawah tenggat tetapi masih terlambat serta dokumen tidak tersedia, masa harus buat baru. Perbaiki lah tolong!!!!! Edit : Sumpah makin parah banget tugas yang terkumpul dan ada dokumen mengapa hilang terussss dah tampilan juga diselesaikan terlambat . Semua tugas saya seperti ini. Kenapa coba? Kasih solusi lah.",4,POSITIVE
24,APLIKASI BUSUK PAKE DATA PAKE WIFI BUKA CLASSROOM TETEP MUTER2 APLIAKSI APAAN INI BIKIN ORANG SUSAH,1,NEGATIVE,,,,,,,,24,APLIKASI BUSUK PAKE DATA PAKE WIFI BUKA CLASSROOM TETEP MUTER2 APLIAKSI APAAN INI BIKIN ORANG SUSAH,1,NEGATIVE
25,Main gc sangat enak,5,POSITIVE,,,,,,,,25,Main gc sangat enak,5,POSITIVE
26,Sangat Membantu,5,POSITIVE,,,,,,,,26,Sangat Membantu,5,POSITIVE
27,capek jujur sekolah,1,NEGATIVE,,,,,,,,27,capek jujur sekolah,1,NEGATIVE
28,sy benci belajar,1,NEGATIVE,,,,,,,,28,sy benci belajar,1,NEGATIVE
29,"Classroom ku eror, kelas e moro² ilang kabeh",5,POSITIVE,,,,,,,,29,"Classroom ku eror, kelas e moro² ilang kabeh",5,POSITIVE
30,Kenapa tugas saya tidak bisa terkirim ? Padahal belum batas tenggat waktu. Google tolong perbaiki google classroom!!!,1,NEGATIVE,,,,,,,,30,Kenapa tugas saya tidak bisa terkirim ? Padahal belum batas tenggat waktu. Google tolong perbaiki google classroom!!!,1,NEGATIVE
31,"Tugas muluuu, kaga bosen apa🗿",1,NEGATIVE,,,,,,,,31,"Tugas muluuu, kaga bosen apa🗿",1,NEGATIVE
32,"Aplikasinya dah bagus, tapi masih ada bug yg merasakan kenapa setiap pagi saya ada notif tugas mohon tolong di perbaiki karena bug ini sangat meresahkan",3,NEGATIVE,,,,,,,,32,"Aplikasinya dah bagus, tapi masih ada bug yg merasakan kenapa setiap pagi saya ada notif tugas mohon tolong di perbaiki karena bug ini sangat meresahkan",3,NEGATIVE
33,"Tolong di perbaiki bug nya. Masa tiap hari banyak banget spam notif tugas, sangat mengganggu sekali ini. Semoga cepet di fix",1,NEGATIVE,,,,,,,,33,"Tolong di perbaiki bug nya. Masa tiap hari banyak banget spam notif tugas, sangat mengganggu sekali ini. Semoga cepet di fix",1,NEGATIVE
34,Memberikan saya banyak tg tpi bagus si apknya,2,NEGATIVE,,,,,,,,34,Memberikan saya banyak tg tpi bagus si apknya,2,NEGATIVE
35,"Notif kok telat,, aku yg tugas harus selesai hari ini sering tak terkumpul pada waktunya,, al hasil saya di marahi pengasuh saya,",1,NEGATIVE,,,,,,,,35,"Notif kok telat,, aku yg tugas harus selesai hari ini sering tak terkumpul pada waktunya,, al hasil saya di marahi pengasuh saya,",1,NEGATIVE
36,"Aplikasi yang sangat membantu. Tapi jika boleh saran, saya ingin menyarankan untuk update selanjutnya, apa bisa ditambahkan fitur baru? Seperti fitur menggabungkan kls menjadi sebuah folder, jadi di Classroom bisa membuat folder yang isinya kls kls tertentu, dengan cara ini bisa memudahkan siswa untuk mencari kelas. Contoh; folder ""senin"" diisi oleh kelas mata pelajaran yang sesuai. Terimakasih.",5,POSITIVE,,,,,,,,36,"Aplikasi yang sangat membantu. Tapi jika boleh saran, saya ingin menyarankan untuk update selanjutnya, apa bisa ditambahkan fitur baru? Seperti fitur menggabungkan kls menjadi sebuah folder, jadi di Classroom bisa membuat folder yang isinya kls kls tertentu, dengan cara ini bisa memudahkan siswa untuk mencari kelas. Contoh; folder ""senin"" diisi oleh kelas mata pelajaran yang sesuai. Terimakasih.",5,POSITIVE
