POSITIVE	aink dikasi tugas video mulu lah
NEGATIVE	Bagus apk nya, tp kok ada bug tiba-tiba ada notif tugas? Itu sangat menggangu juga membuat stres sekali... Mohon di fix bugnya????
NEGATIVE	Yaahh... Kasian bljr daring ???? pada ngeluh bug yaa wkwk
NEGATIVE	aneh mw ngirim tugas pidio malah gabisa maksut amat
POSITIVE	Terimakasih berkat aplikasi ini saya jadi juara 1 di Dunia makasih Kepada pembuat aplikasi ini hebat banget sumpah ,saya juga dapat menjadi calon presiden
NEGATIVE	Mohon maaf ini kalau kirim 1 video sekitar 10MB lama memakan sekitar 3 menit, apakah anda bisa memberitahu aplikasi lain yang sama dengan classroom?
NEGATIVE	Ga tau lagi aku
POSITIVE	Membantu sekali
NEGATIVE	kelas nya gamuncul
POSITIVE	Aku punya login????
POSITIVE	Seru banget gan
NEGATIVE	jd banyak tugas
NEGATIVE	Sering Ngebug Notifnya Kebanyakan
NEGATIVE	HMM kurang menarik bnyk bug
NEGATIVE	Saya benci tugas??
NEGATIVE	mau ngirim pdf gagal terlampir mulu heran
NEGATIVE	Yah, eror bang
POSITIVE	Lumayan lah ya
POSITIVE	Aku suka belajar ??
POSITIVE	Buat pelajaran
POSITIVE	AWALI HARI MU DENGAN DI SPAM NOTIF TUGASS ??
POSITIVE	Baik dan bagus
NEGATIVE	Bangkrut aja gan
POSITIVE	Kenapa sih bug terus, dari tombol berhimpitan, tugas yang telah terlampir dan terkumpul juga hilang dokumen tugasnya, serta pengumpulan yang sudah dibawah tenggat tetapi masih terlambat serta dokumen tidak tersedia, masa harus buat baru. Perbaiki lah tolong!!!!! Edit : Sumpah makin parah banget tugas yang terkumpul dan ada dokumen mengapa hilang terussss dah tampilan juga diselesaikan terlambat . Semua tugas saya seperti ini. Kenapa coba? Kasih solusi lah.
NEGATIVE	APLIKASI BUSUK PAKE DATA PAKE WIFI BUKA CLASSROOM TETEP MUTER2 APLIAKSI APAAN INI BIKIN ORANG SUSAH
POSITIVE	Main gc sangat enak
POSITIVE	Sangat Membantu
NEGATIVE	capek jujur sekolah
NEGATIVE	sy benci belajar
POSITIVE	Classroom ku eror, kelas e moro² ilang kabeh
NEGATIVE	Kenapa tugas saya tidak bisa terkirim ? Padahal belum batas tenggat waktu. Google tolong perbaiki google classroom!!!
NEGATIVE	Tugas muluuu, kaga bosen apa??
NEGATIVE	Aplikasinya dah bagus, tapi masih ada bug yg merasakan kenapa setiap pagi saya ada notif tugas mohon tolong di perbaiki karena bug ini sangat meresahkan
NEGATIVE	Tolong di perbaiki bug nya. Masa tiap hari banyak banget spam notif tugas, sangat mengganggu sekali ini. Semoga cepet di fix
NEGATIVE	Memberikan saya banyak tg tpi bagus si apknya
NEGATIVE	Notif kok telat,, aku yg tugas harus selesai hari ini sering tak terkumpul pada waktunya,, al hasil saya di marahi pengasuh saya,
POSITIVE	Aplikasi yang sangat membantu. Tapi jika boleh saran, saya ingin menyarankan untuk update selanjutnya, apa bisa ditambahkan fitur baru? Seperti fitur menggabungkan kls menjadi sebuah folder, jadi di Classroom bisa membuat folder yang isinya kls kls tertentu, dengan cara ini bisa memudahkan siswa untuk mencari kelas. Contoh; folder "senin" diisi oleh kelas mata pelajaran yang sesuai. Terimakasih.
NEGATIVE	Belakangan ini classroomnya suka eror, semenjak di update jadi ga bisa ngirim tugas mana tenggatnya mepet banget lagi. Pliss...perbaiki lagii...aku mau ngirim tugasnya susah banget, masa harus japri terus ke guru mapelnya kan gaenak takut ganggu gurunya. Jadi pliss..perbaiki lagi ?????????? masa ada tulisan "anda tidak dapat mengirim tugas saat ini". Udah capek capek ngerjain kagak bisa dikirim, gimana ceritanya...mohon diperbaiki lagi dongg ...kasian yang lain juga mau ngirim tugasnya susah
POSITIVE	Tingkatan lagi ??
POSITIVE	Woy developer knp sih selalu ada notif tugas dari guru?, itu sangat mengganggu dan meresahkan tolong segera di perbaiki/fix
NEGATIVE	Aplikasi terjelek yang pernah saya tahu. Untuk upload file amat sangat lambat bahkan tidak jarang tertutup sendiri aplikasinya karena nggak bisa-bisa kirim file. Saya kirim video via WA cuma 2 menit uploadnya, lewat aplikasi ini sudah 2 jam lebih masih tidak bisa terupload. Kalau nggak terpaksa karena anak saya sekolah pakai aplikasi ini, nggak bakalan saya mau buka/pakai aplikasi ini. Mau tanya, apa ada aplikasi yang lebih jelek dari aplikasi ini??????????
POSITIVE	Kurang menarik
NEGATIVE	Sumpah lemot banget, padahal jaringan bagus, tapi di pake buat ngirim tugas loading lama banget... Tolong diperbaiki lagi y
NEGATIVE	Semakin membingungkan...!!!! Aplikasinya bikin kita menyebut berbagai nama binatang!!! Buat kepala pusing!! Udah updete kepikir untuk cepet2 eh mlh sdh updete kelas yang diikuti hilang semuaa! Ketika akan mau bergabung lagi, eh malah tulisan gak jelas! Seperti pengajar belum membagikan tugas lah, apa lah. Padahal sebelumnya baik2 saja sebelum updete, nyesel sumpah.
POSITIVE	Aplikasi ini sangat membantu saya??
POSITIVE	Cukup membantu
NEGATIVE	Gak Tau Kenapa
NEGATIVE	Tugas oh tugas
POSITIVE	Mudah d mengerti
NEGATIVE	Tau lah kenapa
